Language,Sentence,Target,true_flag,label_roberta,probability_roberta,label_langid,probability_langid,translated_sentence
English,The cat sat on the mat.,The cat sat on the mat.,en,en,0.9763492345809937,en,1.0,The cat sat on the mat.
English,She loves to read books.,She loves to read books.,en,en,0.9926185011863708,en,0.9999999655104527,She loves to read books.
English,He is going to the market.,He is going to the market.,en,en,0.8920133113861084,en,1.0,He's going to the market.
English,They are playing soccer.,They are playing soccer.,en,en,0.9807071685791016,en,0.9999999999915239,They're playing football.
English,The sun is shining brightly.,The sun is shining brightly.,en,en,0.9897196292877197,en,0.9999999999448463,The sun is shining brightly.
English,Can you help me with this?,Can you help me with this?,en,en,0.9890103936195374,en,1.0,Can you help me with this?
English,I enjoy listening to music.,I enjoy listening to music.,en,en,0.9920040965080261,en,0.9999999983300725,I enjoy listening to music.
English,The flowers are blooming.,The flowers are blooming.,en,en,0.9886856079101562,en,0.9999999996849052,The flowers are blooming.
English,This is my favorite movie.,This is my favorite movie.,en,en,0.9937165379524231,en,0.9999999999307236,This is my favorite movie.
English,He works in a bank.,He works in a bank.,en,en,0.9224150776863098,en,0.995949263861819,He works in a bank.
English,The kids are playing in the park.,The kids are playing in the park.,en,en,0.9805690050125122,en,1.0,The kids are playing in the park.
English,She cooked a delicious meal.,She cooked a delicious meal.,en,en,0.9938376545906067,en,0.9999999986485419,She cooked a delicious meal.
English,It is raining outside.,It is raining outside.,en,en,0.9938721656799316,en,0.9999950052767528,It's raining outside.
English,We are going on a vacation.,We are going on a vacation.,en,en,0.9661650061607361,en,0.9999979090725187,We're going on vacation.
English,He bought a new car.,He bought a new car.,en,en,0.9748425483703613,en,0.9999973706736045,He bought a new car.
English,The dog is very friendly.,The dog is very friendly.,en,en,0.9935792684555054,en,0.9999999969633886,The dog is very friendly.
English,She sings beautifully.,She sings beautifully.,en,en,0.985529363155365,en,0.9999779522531531,She sings beautifully.
English,They live in a big house.,They live in a big house.,en,en,0.9737982749938965,en,0.9999999991939037,They live in a big house.
English,He is a good teacher.,He is a good teacher.,en,en,0.9922919869422913,en,0.9999999995868014,He is a good teacher.
English,The meeting starts at 10 AM.,The meeting starts at 10 AM.,en,en,0.9674832224845886,en,0.9999999999831299,The meeting starts at 10am.
French,Le chat est assis sur le tapis.,The cat is sitting on the carpet.,fr,fr,0.7621104717254639,fr,0.9999999980586527,The chat is sitting on the carpet.
French,Elle aime lire des livres.,She likes to read books.,fr,fr,0.9879044890403748,fr,0.9999999998969515,She likes to read books.
French,Il va au marché.,He goes to the market.,fr,fr,0.9901942610740662,fr,0.9999999872132072,He goes to the market.
French,Ils jouent au football.,They play football.,fr,fr,0.9895025491714478,fr,0.9999998907362435,They play football.
French,Le soleil brille de mille feux.,The sun shines brightly.,fr,fr,0.9670220613479614,fr,0.9999999999997509,The sun is shining with a thousand lights.
French,Peux-tu m'aider avec ça ?,Can you help me with this?,fr,fr,0.9928673505783081,fr,0.9999999999998308,Can you help me with this?
French,J'aime écouter de la musique.,I like listening to music.,fr,fr,0.9905948638916016,fr,0.9999999999998395,I like to listen to music.
French,Les fleurs sont en train de fleurir.,The flowers are blooming.,fr,fr,0.9921735525131226,fr,0.9999999999999709,The flowers are in bloom.
French,C'est mon film préféré.,This is my favorite movie.,fr,fr,0.9915988445281982,fr,0.9999999999997902,It's my favourite film.
French,Il travaille dans une banque.,He works in a bank.,fr,fr,0.9925630688667297,fr,0.9999999999999942,He works in a bank.
French,Les enfants jouent dans le parc.,Children play in the park.,fr,fr,0.9876825213432312,fr,1.0,Les enfants jouent dans le parc. The children are playing in the park.
French,Elle a cuisiné un délicieux repas.,She cooked a delicious meal.,fr,fr,0.9864667057991028,fr,0.9999999999999998,She cooked a delicious meal.
French,Il pleut dehors.,It's raining outside.,fr,fr,0.6458275318145752,fr,0.9999875375508304,He's playing outside.
French,Nous partons en vacances.,We're leaving for vacation.,fr,fr,0.9943124055862427,fr,0.9999006895847097,We parted on vacation.
French,Il a acheté une nouvelle voiture.,He bought a new car.,fr,fr,0.9924389123916626,fr,1.0,He bought a new car.
French,Le chien est très amical.,The dog is very friendly.,fr,fr,0.9883763194084167,fr,0.9999999999999751,The dog is very friendly.
French,Elle chante magnifiquement.,She sings beautifully.,fr,fr,0.9802632927894592,fr,0.9999922329531175,She sings magnificently.
French,Ils habitent dans une grande maison.,They live in a big house.,fr,fr,0.9936239719390869,fr,0.9999999999999785,They live in a big house.
French,Il est un bon professeur.,He is a good teacher.,fr,fr,0.9332202076911926,fr,0.9999999999617222,He's a good teacher.
