Language,Sentence,Target
English,The cat sat on the mat.,The cat sat on the mat.
English,She loves to read books.,She loves to read books.
English,He is going to the market.,He is going to the market.
English,They are playing soccer.,They are playing soccer.
English,The sun is shining brightly.,The sun is shining brightly.
English,Can you help me with this?,Can you help me with this?
English,I enjoy listening to music.,I enjoy listening to music.
English,The flowers are blooming.,The flowers are blooming.
English,This is my favorite movie.,This is my favorite movie.
English,He works in a bank.,He works in a bank.
English,The kids are playing in the park.,The kids are playing in the park.
English,She cooked a delicious meal.,She cooked a delicious meal.
English,It is raining outside.,It is raining outside.
English,We are going on a vacation.,We are going on a vacation.
English,He bought a new car.,He bought a new car.
English,The dog is very friendly.,The dog is very friendly.
English,She sings beautifully.,She sings beautifully.
English,They live in a big house.,They live in a big house.
English,He is a good teacher.,He is a good teacher.
English,The meeting starts at 10 AM.,The meeting starts at 10 AM.
French,Le chat est assis sur le tapis.,The cat is sitting on the carpet.
French,Elle aime lire des livres.,She likes to read books.
French,Il va au marché.,He goes to the market.
French,Ils jouent au football.,They play football.
French,Le soleil brille de mille feux.,The sun shines brightly.
French,Peux-tu m'aider avec ça ?,Can you help me with this?
French,J'aime écouter de la musique.,I like listening to music.
French,Les fleurs sont en train de fleurir.,The flowers are blooming.
French,C'est mon film préféré.,This is my favorite movie.
French,Il travaille dans une banque.,He works in a bank.
French,Les enfants jouent dans le parc.,Children play in the park.
French,Elle a cuisiné un délicieux repas.,She cooked a delicious meal.
French,Il pleut dehors.,It's raining outside.
French,Nous partons en vacances.,We're leaving for vacation.
French,Il a acheté une nouvelle voiture.,He bought a new car.
French,Le chien est très amical.,The dog is very friendly.
French,Elle chante magnifiquement.,She sings beautifully.
French,Ils habitent dans une grande maison.,They live in a big house.
French,Il est un bon professeur.,He is a good teacher.
French,La réunion commence à 10h.,The meeting starts at 10 a.m.
Luxembourgish,D'Kaz sëtzt op der Mat.,The cat is sitting on the mat.
Luxembourgish,Si liest gär Bicher.,She likes to read books.
Luxembourgish,Hie geet op de Maart.,He goes to the market.
Luxembourgish,Si spillen Fussball.,They play football.
Luxembourgish,D'Sonn schéngt hell.,The sun shines brightly.
Luxembourgish,Kanns du mir heibäi hëllefen?,Can you help me with this?
Luxembourgish,Ech lauschteren gär Musek.,I like listening to music.
Luxembourgish,D'Blummen bléien.,The flowers are blooming.
Luxembourgish,Dëst ass mäi léifste Film.,This is my favorite movie.
Luxembourgish,Hie schafft an enger Bank.,He works in a bank.
Luxembourgish,D'Kanner spillen am Park.,The children are playing in the park.
Luxembourgish,Si huet e leckere Moolzecht gekacht.,She cooked a delicious meal.
Luxembourgish,Et reent dobaussen.,It's raining outside.
Luxembourgish,Mir ginn an d'Vakanz.,We are going on vacation.
Luxembourgish,Hien huet en neit Auto kaf.,He bought a new car.
Luxembourgish,Den Hond ass ganz frëndlech.,The dog is very friendly.
Luxembourgish,Si séngt schéin.,She sings beautifully.
Luxembourgish,Si wunnen an engem groussen Haus.,They live in a big house.
Luxembourgish,Hien ass e gudde Proff.,He is a good teacher.
Luxembourgish,D'Versammlung fänkt um 10 Auer un.,The meeting starts at 10 am.
German,Der Hund bellt laut.,The dog barks loudly.
German,"Ich liebe es, Bücher zu lesen.",I love reading books.
German,Das Wetter ist heute schön.,The weather is nice today.
German,Wir gehen morgen ins Kino.,We are going to the cinema tomorrow.
German,Sie kocht gerne italienisches Essen.,She likes to cook Italian food.
German,Der Apfel fällt nicht weit vom Stamm.,The apple doesn't fall far from the tree.
German,Ich habe meine Hausaufgaben gemacht.,I have done my homework.
German,Er spielt jeden Samstag Fußball.,He plays football every Saturday.
German,Die Blumen im Garten blühen.,The flowers in the garden are blooming.
German,Kannst du mir bitte helfen?,Can you help me please?
German,Das Auto ist neu und schnell.,The car is new and fast.
German,Sie arbeitet in einem Krankenhaus.,She works in a hospital.
German,Die Kinder spielen auf dem Spielplatz.,The children are playing on the playground.
German,Er fährt jeden Tag mit dem Fahrrad zur Arbeit.,He rides his bike to work every day.
German,Der Kaffee schmeckt heute besonders gut.,The coffee tastes particularly good today.
German,Wir planen eine Reise nach Frankreich.,We are planning a trip to France.
German,Das Buch ist sehr spannend.,The book is very exciting.
German,Sie singt in einem Chor.,She sings in a choir.
German,Der Film beginnt um 20 Uhr.,The film starts at 8 p.m.
German,Ich habe gestern einen langen Spaziergang gemacht.,I went for a long walk yesterday.
